filename	tile_size	pattern_width	rotations	output_size	ground	attempt_limit	output_periodic	input_periodic	location heuristic	choice heuristic	global constraint	backtracking	attempts	time_start	time_adjacency	adjacency_duration	time solve start	time solve end	solve duration	pattern count	choices	wave	backtracks	propagations	outcome	
Rooms	1	3	7	(48, 48)	0	10	True	True	entropy	weighted	False	False	1	1090084.8402246	1090085.9325023	0.0011352000292390585	1090085.9336375	1090092.1632784	6.229640899924561	74	366	366	0	732	success	
Rooms	1	3	7	(48, 48)	0	10	True	True	entropy	weighted	False	False	1	1090092.1805924	1090093.2872095	0.0011695998255163431	1090093.2883791	1090100.1077299	6.819350800011307	74	393	393	0	786	success	
Rule 126	1	3	1	(48, 48)	0	10	False	False	entropy	weighted	False	False	1	1090100.1254742	1090105.3690482	0.0017689999658614397	1090105.3708172	1090131.7668644	26.39604719984345	167	684	684	0	1368	success	
Simple Knot	1	3	7	(48, 48)	0	10	True	True	entropy	weighted	False	False	1	1090131.7844786	1090132.6317131	0.001182100037112832	1090132.6328952	None	3.4913765999954194	65	227	227	0	454	contradiction	
Simple Knot	1	3	7	(48, 48)	0	10	True	True	entropy	weighted	False	False	2	1090131.7844786	1090132.6317131	3.49341190000996	1090136.125125	1090139.7226678	3.5975428000092506	65	467	467	0	934	success	
Simple Maze	1	2	7	(48, 48)	0	10	False	False	entropy	weighted	False	False	1	1090139.7422239	1090139.7928706	0.0011362000368535519	1090139.7940068	1090141.6862874	1.8922806000337005	12	1264	1264	0	2528	success	
Simple Wall	1	3	1	(48, 48)	0	10	True	True	entropy	weighted	False	False	1	1090141.7029042	1090141.7951342	0.0010087999980896711	1090141.796143	1090142.6522119	0.8560689000878483	21	187	187	0	374	success	
Simple Wall	1	3	7	(48, 48)	0	10	True	True	entropy	weighted	False	False	1	1090142.668075	1090142.9194097	0.001238600118085742	1090142.9206483	1090144.7540252	1.8333768998272717	31	262	262	0	524	success	
Simple Wall	1	2	1	(48, 48)	0	10	True	True	entropy	weighted	False	False	1	1090144.7706341	1090144.7965906	0.0011102999560534954	1090144.7977009	1090146.044614	1.2469131001271307	9	751	751	0	1502	success	
Simple Wall	1	2	7	(48, 48)	0	10	True	True	entropy	weighted	False	False	1	1090146.0654961	1090146.1131309	0.0014196999836713076	1090146.1145506	1090147.3465188	1.2319681998342276	9	738	738	0	1476	success	
